prov,zs,pop,debutsem,c011mois,d011mois,c1259mois,d1259mois,c5ansp,d5ansp,Annee
HAUT-KATANGA,RWASHI,193955.0,2020-01-27,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KAMPEMBA,193955.0,2020-01-27,0.0,0.0,0.0,0.0,10.0,1.0,2020
TANGANYIKA,NYEMBA,193955.0,2019-01-27,0.0,0.0,3.0,0.0,4.0,0.0,2020
TANGANYIKA,KALEMIE,193955.0,2019-01-27,0.0,0.0,15.0,0.0,35.0,0.0,2020
TANGANYIKA,KANSIMBA,193955.0,2019-01-27,0.0,0.0,1.0,0.0,4.0,1.0,2020
TANGANYIKA,MOBA,193955.0,2019-01-27,0.0,0.0,4.0,0.0,11.0,0.0,2020
SUD-KIVU,LEMERA,193955.0,2020-02-02,0.0,0.0,1.0,0.0,3.0,0.0,2020
SUD-KIVU,MINOVA,193955.0,2020-02-02,0.0,0.0,5.0,0.0,21.0,0.0,2020
SUD-KIVU,KATANA,193955.0,2020-02-02,0.0,0.0,0.0,0.0,3.0,0.0,2020
SUD-KIVU,FIZI,193955.0,2020-02-02,0.0,0.0,21.0,0.0,45.0,0.0,2020
SUD-KIVU,NUNDU,193955.0,2020-02-02,0.0,0.0,3.0,0.0,14.0,0.0,2020
SUD-KIVU,UVIRA,193955.0,2020-02-02,0.0,0.0,0.0,0.0,7.0,0.0,2020
SUD-KIVU,BAGIRA-KASHA,193955.0,2020-02-02,0.0,0.0,1.0,0.0,0.0,0.0,2020
SUD-KIVU,IBANDA,193955.0,2020-02-02,0.0,0.0,0.0,0.0,6.0,0.0,2020
SUD-KIVU,KADUTU,193955.0,2020-02-02,0.0,0.0,2.0,0.0,3.0,0.0,2020
SUD-KIVU,NYANTENDE,193955.0,2020-02-02,0.0,0.0,1.0,0.0,3.0,0.0,2020
SUD-KIVU,IDJWI,193955.0,2020-02-02,0.0,0.0,0.0,0.0,3.0,0.0,2020
KASAI-ORIENTAL,DIBINDI,193955.0,2020-01-27,0.0,0.0,0.0,0.0,1.0,0.0,2020
NORD-KIVU,GOMA,193955.0,2020-01-27,0.0,0.0,15.0,0.0,17.0,0.0,2020
NORD-KIVU,KARISIMBI,193955.0,2020-01-27,0.0,0.0,9.0,0.0,7.0,0.0,2020
NORD-KIVU,KAYNA,193955.0,2020-01-27,0.0,0.0,10.0,0.0,7.0,0.0,2020
NORD-KIVU,KIBUA,193955.0,2020-01-27,0.0,0.0,2.0,0.0,4.0,0.0,2020
NORD-KIVU,KIROTSHE,193955.0,2020-01-27,0.0,0.0,14.0,0.0,13.0,0.0,2020
NORD-KIVU,MASISI,193955.0,2020-01-27,0.0,0.0,7.0,0.0,12.0,0.0,2020
NORD-KIVU,MWESO,193955.0,2020-01-27,0.0,0.0,23.0,0.0,12.0,0.0,2020
NORD-KIVU,NYIRAGONGO,193955.0,2020-01-27,0.0,0.0,4.0,0.0,3.0,0.0,2020
HAUT-KATANGA,KASENGA,193955.0,2020-03-02,0.0,0.0,4.0,0.0,7.0,0.0,2020
HAUT-KATANGA,KISANGA,193955.0,2020-03-02,0.0,0.0,1.0,1.0,4.0,0.0,2020
HAUT-KATANGA,KAMPEMBA,193955.0,2020-03-02,0.0,0.0,1.0,0.0,10.0,1.0,2020
HAUT-KATANGA,TSHAMILEMBA,193955.0,2020-03-02,0.0,0.0,0.0,0.0,3.0,1.0,2020
HAUT-KATANGA,KILWA,193955.0,2020-03-02,0.0,0.0,2.0,0.0,4.0,0.0,2020
HAUT-KATANGA,KATUBA,193955.0,2020-03-02,0.0,0.0,0.0,0.0,7.0,0.0,2020
HAUT-KATANGA,KASHOBWE,193955.0,2020-03-02,0.0,0.0,6.0,0.0,2.0,0.0,2020
HAUT-KATANGA,RWASHI,193955.0,2020-03-02,0.0,0.0,1.0,0.0,2.0,0.0,2020
HAUT-KATANGA,KENYA,193955.0,2020-03-02,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,LUKAFU,193955.0,2020-03-02,0.0,0.0,5.0,0.0,3.0,0.0,2020
KASAI,MUSHENGE,193955.0,2020-03-02,0.0,0.0,0.0,0.0,3.0,0.0,2020
LUALABA,DILALA,193955.0,2020-03-02,0.0,0.0,0.0,0.0,1.0,0.0,2020
LUALABA,FUNGURUME,193955.0,2020-03-02,0.0,0.0,0.0,0.0,1.0,0.0,2020
TANGANYIKA,KALEMIE,193955.0,2019-03-02,0.0,0.0,2.0,0.0,31.0,0.0,2020
TANGANYIKA,MOBA,193955.0,2019-03-02,0.0,0.0,4.0,0.0,11.0,0.0,2020
TANGANYIKA,NYEMBA,193955.0,2019-03-02,0.0,0.0,2.0,0.0,3.0,0.0,2020
TANGANYIKA,KANSIMBA,193955.0,2020-03-02,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-LOMAMI,KABONDO-DIANDA,193955.0,2020-03-02,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-LOMAMI,KINKONDJA,193955.0,2020-03-02,0.0,0.0,1.0,0.0,10.0,0.0,2020
